Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
6/1/2017,67404,163063,222977,1957,289
6/2/2017,66905,157299,223162,2315,357
6/3/2017,56263,155712,223356,4627,356
6/4/2017,40138,100571,223520,2270,103
6/5/2017,55882,123795,223719,1286,204
6/6/2017,41268,86679,223834,523,89
6/7/2017,64452,149853,223969,1536,258
6/8/2017,62652,132716,224131,1631,266
6/9/2017,66504,156787,224289,2513,313
6/10/2017,57086,150903,224455,4764,296
6/11/2017,51427,140711,224654,3941,179
6/12/2017,57870,133564,224889,1561,201
6/13/2017,60920,129444,225078,1407,179
6/14/2017,60510,137988,225231,1573,218
6/15/2017,64761,144513,225430,1885,227
6/16/2017,56401,128201,225556,1507,177
6/17/2017,34899,83755,225683,2243,209
6/18/2017,49469,138414,225864,3730,295
6/19/2017,38308,88057,226025,878,158
6/20/2017,64670,146794,226220,1781,215
6/21/2017,67215,154525,226394,1666,258
6/22/2017,66304,158453,226589,1818,260
6/23/2017,55321,129797,226695,1585,205
6/24/2017,52150,141282,226849,4277,314
6/25/2017,54645,158625,227015,4527,256
6/26/2017,62661,145321,227211,2024,297
6/27/2017,64762,151112,227418,1697,229
6/28/2017,67740,159263,227679,1893,208
6/29/2017,64260,146419,227855,1703,210
6/30/2017,58660,132583,228047,2024,293
7/1/2017,36737,107126,228157,2828,372
7/2/2017,43035,128397,228306,4314,458
7/3/2017,48193,130240,228473,3243,316
7/4/2017,49924,146441,228669,4929,315
7/5/2017,60321,149487,228908,1886,267
7/6/2017,62147,140767,229085,1646,264
7/7/2017,44068,103656,229241,1283,216
7/8/2017,55015,146438,229453,4138,333
7/9/2017,57118,159914,229680,4471,340
7/10/2017,60908,141463,229933,1546,359
7/11/2017,61670,141463,230159,1269,227
7/12/2017,61786,132874,230336,1376,179
7/13/2017,56475,126527,230514,1322,180
7/14/2017,31851,70477,230610,570,101
7/15/2017,56499,148067,230772,4761,378
7/16/2017,56833,153666,230981,4497,308
7/17/2017,62555,141323,231225,1675,289
7/18/2017,66234,144623,231416,1724,243
7/19/2017,63916,143277,231603,1617,267
7/20/2017,59665,131871,231741,1439,229
7/21/2017,60074,136330,231882,1929,304
7/22/2017,48013,124272,232049,3634,332
7/23/2017,46945,117035,232212,3164,249
7/24/2017,43793,104460,232359,989,113
7/25/2017,65339,148542,232521,1549,285
7/26/2017,70329,168603,232674,2054,248
7/27/2017,65773,144443,232820,1666,214
7/28/2017,63911,151514,232984,2293,297
7/29/2017,52955,132509,233138,4085,324
7/30/2017,59364,165423,233360,5214,376
7/31/2017,64231,153123,233614,1862,263
8/1/2017,66676,147654,233824,1813,272
8/2/2017,56179,122622,233958,3291,139
8/3/2017,66144,146858,234160,1849,257
8/4/2017,56391,128749,234312,2212,325
8/5/2017,58966,169511,234524,5299,415
8/6/2017,56473,161492,234715,4686,292
8/7/2017,23395,55927,234851,249,34
8/8/2017,65228,145901,235084,1738,331
8/9/2017,67874,170524,235283,1952,300
8/10/2017,66245,151415,235457,1834,262
8/11/2017,63134,147098,235623,2360,358
8/12/2017,60531,173581,235890,5409,405
8/13/2017,57511,162040,236098,4755,337
8/14/2017,61460,139535,236328,1816,294
8/15/2017,52460,105695,236504,948,125
8/16/2017,68434,159032,236681,1905,251
8/17/2017,66654,156810,236872,2087,261
8/18/2017,36619,90704,236984,840,124
8/19/2017,62440,186037,237324,5992,461
8/20/2017,55438,147379,237518,4218,313
8/21/2017,61055,138059,237710,1832,277
8/22/2017,60541,133409,237878,1477,260
8/23/2017,65069,141360,238057,1712,219
8/24/2017,66306,151449,238257,1820,315
8/25/2017,64217,156344,238406,2316,325
8/26/2017,50111,132832,238546,3621,214
8/27/2017,54594,145524,238771,4135,278
8/28/2017,60885,133126,239016,1616,272
8/29/2017,35151,67448,239163,424,104
8/30/2017,65328,147325,239347,1760,309
8/31/2017,64881,144852,239519,1727,260
