Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
6/1/2018,62890,147780,269167,3049,250
6/2/2018,60287,158528,269371,5634,307
6/3/2018,50041,134416,269544,3892,154
6/4/2018,58910,130774,269763,2372,166
6/5/2018,71906,155007,269934,2682,199
6/6/2018,69797,154726,270119,2479,173
6/7/2018,70478,160532,270274,2808,198
6/8/2018,72696,163188,270455,3915,283
6/9/2018,65239,171623,270657,6917,292
6/10/2018,41639,106867,270825,3136,112
6/11/2018,68060,154381,271146,3044,243
6/12/2018,76255,166828,271364,3260,215
6/13/2018,64270,144934,271541,2044,104
6/14/2018,75803,173109,271708,3359,227
6/15/2018,72417,160081,271883,4005,296
6/16/2018,63182,165240,272071,7037,339
6/17/2018,56218,146611,272306,5760,232
6/18/2018,63551,136481,272522,2498,206
6/19/2018,72168,153883,272780,2902,230
6/20/2018,74088,165836,272950,2929,231
6/21/2018,70050,158375,273114,3026,262
6/22/2018,71084,156062,273291,3736,263
6/23/2018,51028,118620,273422,4172,207
6/24/2018,55775,152057,273615,5862,232
6/25/2018,71747,163026,273820,3441,221
6/26/2018,80643,171973,274006,3442,254
6/27/2018,67647,140557,274165,2457,183
6/28/2018,50431,104860,274290,1967,154
6/29/2018,69856,151785,274467,3940,326
6/30/2018,54713,134347,274628,5425,360
7/1/2018,45265,120484,274813,4209,211
7/2/2018,58633,130122,275016,2702,241
7/3/2018,54882,113998,275157,2358,199
7/4/2018,48368,136287,275304,5662,250
7/5/2018,59471,133659,275487,3344,264
7/6/2018,49504,111660,275614,2650,189
7/7/2018,60916,173852,275793,7284,349
7/8/2018,60486,171826,275988,6667,310
7/9/2018,70063,153650,276203,3103,283
7/10/2018,72501,147441,276399,2999,227
7/11/2018,73011,163349,276553,3049,170
7/12/2018,74857,161182,276703,3520,231
7/13/2018,72113,156285,276858,3998,294
7/14/2018,62556,157266,277000,7241,334
7/15/2018,52295,132234,277133,5121,248
7/16/2018,67072,146307,277344,3101,278
7/17/2018,48495,97913,277466,1558,129
7/18/2018,75706,169481,277703,3578,247
7/19/2018,78004,141327,277891,3938,280
7/20/2018,74539,136511,278052,4590,275
7/21/2018,53651,114977,278195,6266,309
7/22/2018,44284,87253,278338,4316,244
7/23/2018,53074,88170,278458,2277,152
7/24/2018,69754,117924,278651,2957,162
7/25/2018,42988,66587,278742,1474,124
7/26/2018,71065,122885,278874,3321,252
7/27/2018,49224,82987,278993,2526,251
7/28/2018,61543,129505,279147,7004,361
7/29/2018,63472,137343,279321,7244,250
7/30/2018,69512,123639,279509,3490,333
7/31/2018,76253,134233,279702,3637,246
8/1/2018,64467,106881,279888,2673,185
8/2/2018,69711,118282,280110,2998,217
8/3/2018,61962,105765,280279,3145,247
8/4/2018,51200,104541,280498,5352,198
8/5/2018,58379,122656,280721,6289,309
8/6/2018,65686,112585,280922,3022,281
8/7/2018,64351,106678,281097,2640,201
8/8/2018,70577,120473,281275,2911,267
8/9/2018,71976,124150,281441,3379,238
8/10/2018,69617,123534,281572,4266,280
8/11/2018,36607,69505,281689,2994,141
8/12/2018,59834,125265,281881,6407,281
8/13/2018,44273,70501,281991,1563,82
8/14/2018,63733,107144,282169,2592,211
8/15/2018,73124,128453,282317,3565,266
8/16/2018,70825,123444,282471,3511,276
8/17/2018,63316,109405,282583,3563,232
8/18/2018,57284,125508,282795,6672,351
8/19/2018,45874,86651,282943,3926,155
8/20/2018,67589,118793,283162,3312,224
8/21/2018,75214,132261,283358,3683,257
8/22/2018,72614,125978,283543,3366,225
8/23/2018,73877,130310,283720,3975,331
8/24/2018,72894,132952,283884,4794,320
8/25/2018,64683,140537,284066,7535,345
8/26/2018,60954,132223,284268,6928,302
8/27/2018,67630,116967,284457,3350,242
8/28/2018,66638,110486,284667,2814,150
8/29/2018,65903,107006,284791,2766,171
8/30/2018,67900,113385,284938,3218,164
8/31/2018,58922,97818,285087,3186,180
