tripduration,start station name,end station name,bikeid,usertype,birth year,age,gender
329,Exchange Place,Marin Light Rail,29513,Subscriber,1991,27,Male
259,Exchange Place,Morris Canal,26221,Subscriber,1989,29,Female
686,Exchange Place,Newport PATH,29266,Subscriber,1990,28,Male
164,Exchange Place,Morris Canal,29472,Subscriber,1993,25,Male
769,Exchange Place,Hamilton Park,33679,Subscriber,1977,41,Male
256,Exchange Place,Morris Canal,29269,Subscriber,1984,34,Male
267,Exchange Place,York St,29551,Subscriber,1988,30,Male
258,Exchange Place,Grove St PATH,26271,Subscriber,1976,42,Male
1247,Exchange Place,Essex Light Rail,30987,Subscriber,1976,42,Male
761,Exchange Place,McGinley Square,33659,Subscriber,1989,29,Male
261,Exchange Place,Paulus Hook,26304,Subscriber,1984,34,Male
294,Exchange Place,Morris Canal,29523,Subscriber,1990,28,Male
313,Exchange Place,Grove St PATH,29299,Subscriber,1978,40,Male
262,Exchange Place,Morris Canal,29292,Subscriber,1983,35,Male
1590,Exchange Place,Exchange Place,26230,Subscriber,1978,40,Male
1777,Exchange Place,Exchange Place,26304,Customer,1969,49,Unknown
1747,Exchange Place,Exchange Place,26277,Customer,1969,49,Unknown
872,Exchange Place,Brunswick & 6th,33605,Subscriber,1989,29,Female
653,Exchange Place,Newport Pkwy,29511,Subscriber,1991,27,Male
230,Exchange Place,Warren St,33573,Subscriber,1976,42,Male
307,Exchange Place,Van Vorst Park,29472,Subscriber,1986,32,Male
402,Exchange Place,Warren St,29299,Subscriber,1971,47,Male
1489,Exchange Place,Exchange Place,26304,Customer,1969,49,Unknown
1367,Exchange Place,Exchange Place,29626,Customer,1969,49,Unknown
203,Exchange Place,Columbus Drive,29611,Subscriber,1971,47,Male
1114,Exchange Place,Exchange Place,26277,Subscriber,1980,38,Female
1466,Exchange Place,Riverview Park,33613,Subscriber,1983,35,Male
282,Exchange Place,Warren St,33634,Subscriber,1986,32,Male
1138,Exchange Place,Sip Ave,29514,Subscriber,1987,31,Male
286,Exchange Place,Morris Canal,33682,Subscriber,1987,31,Male
366,Exchange Place,Warren St,29626,Subscriber,1979,39,Male
1502,Exchange Place,Leonard Gordon Park,29305,Subscriber,1976,42,Male
867,Exchange Place,Fairmount Ave,26271,Subscriber,1989,29,Male
362,Exchange Place,Grove St PATH,29636,Subscriber,1985,33,Male
263,Exchange Place,Paulus Hook,29268,Subscriber,1960,58,Male
286,Exchange Place,Warren St,26185,Subscriber,1963,53,Female
981,Exchange Place,Hamilton Park,26304,Customer,1969,49,Unknown
968,Exchange Place,Hamilton Park,29551,Customer,1969,49,Unknown
493,Exchange Place,Montgomery St,29262,Subscriber,1989,29,Male
209,Exchange Place,Warren St,26277,Subscriber,1975,43,Male
1008,Exchange Place,Oakland Ave,29250,Subscriber,1981,37,Male
217,Exchange Place,Morris Canal,29627,Subscriber,1974,44,Female
407,Exchange Place,Newark Ave,26230,Subscriber,1985,33,Male
287,Exchange Place,Morris Canal,29227,Subscriber,1990,28,Male
373,Exchange Place,Manila & 1st,33625,Subscriber,1980,38,Male
1702,Exchange Place,Leonard Gordon Park,29521,Subscriber,1979,39,Male
224,Exchange Place,Morris Canal,29242,Subscriber,1984,34,Male
219,Exchange Place,Grove St PATH,29613,Subscriber,1993,25,Male
474,Exchange Place,Marin Light Rail,26197,Subscriber,1988,30,Male
665,Exchange Place,Liberty Light Rail,26201,Subscriber,1976,42,Male
749,Exchange Place,Monmouth and 6th,26258,Subscriber,1960,60,Male
1323,Exchange Place,Pershing Field,26302,Subscriber,1982,36,Male
510,Exchange Place,Newport PATH,29223,Subscriber,1991,27,Male
174,Exchange Place,Columbus Drive,33620,Subscriber,1985,33,Male
327,Exchange Place,Morris Canal,26211,Subscriber,1994,24,Female
1625,Exchange Place,Morris Canal,33648,Customer,1981,37,Unknown
1616,Exchange Place,Morris Canal,29283,Customer,1985,33,Female
253,Exchange Place,Marin Light Rail,31408,Subscriber,1980,38,Male
443,Exchange Place,Van Vorst Park,29298,Customer,1990,28,Male
731,Exchange Place,Hamilton Park,29204,Subscriber,1972,46,Male
1185,Exchange Place,Morris Canal,33625,Subscriber,1981,37,Unknown
1496,Exchange Place,Essex Light Rail,29302,Subscriber,1963,55,Male
595,Exchange Place,Newport Pkwy,29666,Customer,1969,49,Unknown
201,Exchange Place,Morris Canal,26242,Subscriber,1987,31,Male
1935,Exchange Place,Heights Elevator,29510,Subscriber,1983,35,Female
1906,Exchange Place,Heights Elevator,26243,Subscriber,1981,37,Male
379,Exchange Place,Marin Light Rail,28857,Subscriber,1990,28,Male
423,Exchange Place,Warren St,26272,Subscriber,1993,25,Female
423,Exchange Place,Warren St,26304,Subscriber,1994,24,Female
174,Exchange Place,Warren St,26199,Subscriber,1984,34,Male
134,Exchange Place,Exchange Place,29551,Subscriber,1990,28,Male
231,Exchange Place,Essex Light Rail,26182,Subscriber,1990,28,Male
545,Exchange Place,Warren St,26192,Subscriber,1992,26,Female
491,Exchange Place,Marin Light Rail,29551,Subscriber,1985,33,Male
1450,Exchange Place,Washington St,29290,Subscriber,1968,50,Female
910,Exchange Place,Newport PATH,29122,Subscriber,1981,37,Female
907,Exchange Place,Newport PATH,29282,Subscriber,1982,36,Male
416,Exchange Place,Newport Pkwy,29669,Subscriber,1985,33,Male
